"Strategies","left","rope","right"
"CC-LR x MBR-SVM",0,0.99,0.01
"CC-LR x MBR-SVMt",0.16,0.8,0.03
"CC-LR x MBR-XGB",0.77,0.06,0.17
"CC-LR x NS-LR",0.01,0.96,0.02
"CC-LR x NS-RF",0.31,0.02,0.67
"CC-LR x NS-SVM",0,0.99,0.01
"CC-LR x NS-SVMt",0.77,0.06,0.17
"CC-LR x NS-XGB",0.95,0,0.05
"CC-LR x PruDent-LR",0,0.99,0.01
"CC-LR x PruDent-RF",0.03,0.01,0.96
"CC-LR x PruDent-SVM",0,1,0
"CC-LR x PruDent-SVMt",0.03,0.51,0.46
"CC-LR x PruDent-XGB",0.73,0.07,0.2
"CC-LR x RDBR-LR",0,1,0
"CC-LR x RDBR-RF",0.14,0.06,0.81
"CC-LR x RDBR-SVM",0,1,0
"CC-LR x RDBR-SVMt",0.8,0.14,0.06
"CC-LR x RDBR-XGB",0.87,0.06,0.07
"CC-RF x BR-SVM",0.64,0.06,0.31
"CC-RF x BR-SVMt",0.62,0.03,0.35
"CC-RF x BR-XGB",0.99,0,0.01
"CC-RF x BR+-SVM",0.85,0.08,0.07
"CC-RF x BR+-SVMt",0.98,0,0.02
"CC-RF x BR+-XGB",1,0,0
"CC-RF x CC-SVM",0.91,0.03,0.06
"CC-RF x CC-SVMt",0.93,0.01,0.06
"CC-RF x CC-XGB",1,0,0
"CC-RF x DBR-RF",0.03,0.97,0
"CC-RF x DBR-SVM",0.85,0.09,0.06
"CC-RF x DBR-SVMt",0.98,0,0.02
"CC-RF x DBR-XGB",1,0,0
"CC-RF x EBR-RF",1,0,0
"CC-RF x EBR-SVM",1,0,0
"CC-RF x EBR-SVMt",1,0,0
"CC-RF x EBR-XGB",1,0,0
"CC-RF x ECC-RF",1,0,0
"CC-RF x ECC-SVM",1,0,0
"CC-RF x ECC-SVMt",1,0,0
"CC-RF x ECC-XGB",1,0,0
"CC-RF x MBR-RF",0,1,0
"CC-RF x MBR-SVM",0.65,0.12,0.23
"CC-RF x MBR-SVMt",0.89,0.01,0.1
"CC-RF x MBR-XGB",0.98,0,0.02
"CC-RF x NS-RF",0,1,0
"CC-RF x NS-SVM",0.81,0.03,0.16
"CC-RF x NS-SVMt",0.95,0,0.05
"CC-RF x NS-XGB",0.99,0,0.01
"CC-RF x PruDent-RF",0,1,0
"CC-RF x PruDent-SVM",0.68,0.04,0.27
"CC-RF x PruDent-SVMt",0.42,0.15,0.43
"CC-RF x PruDent-XGB",1,0,0
"CC-RF x RDBR-RF",0,1,0
"CC-RF x RDBR-SVM",0.93,0.03,0.04
"CC-RF x RDBR-SVMt",0.95,0,0.05
"CC-RF x RDBR-XGB",1,0,0
"CC-SVM x BR-SVMt",0.15,0.37,0.48
